"","Threshold","Bio_threshold","site","region","year","Hydro_Metric","Biol","Alteration_Current","Alteration_Current_direction"
"3009","Threshold75",0.75,201050,"Aliso",2003,"SP_Dur","ASCI","Altered","Low"
"3010","Threshold75",0.86,201050,"Aliso",2003,"SP_Dur","ASCI","Altered","Low"
"3011","Threshold50",0.94,201050,"Aliso",2003,"SP_Dur","ASCI","Altered","Low"
"3012","Threshold75",0.94,201050,"Aliso",2003,"SP_Dur","ASCI","Altered","Low"
"3013","Threshold25",0.63,201050,"Aliso",2003,"SP_Tim","CSCI","Altered","High"
"3014","Threshold50",0.63,201050,"Aliso",2003,"SP_Tim","CSCI","Altered","High"
"3015","Threshold75",0.63,201050,"Aliso",2003,"SP_Tim","CSCI","Altered","High"
"3016","Threshold25",0.79,201050,"Aliso",2003,"SP_Tim","CSCI","Altered","High"
"3017","Threshold50",0.79,201050,"Aliso",2003,"SP_Tim","CSCI","Altered","High"
"3018","Threshold75",0.79,201050,"Aliso",2003,"SP_Tim","CSCI","Altered","High"
"3019","Threshold25",0.92,201050,"Aliso",2003,"SP_Tim","CSCI","Altered","High"
"3020","Threshold50",0.92,201050,"Aliso",2003,"SP_Tim","CSCI","Altered","High"
"3021","Threshold75",0.92,201050,"Aliso",2003,"SP_Tim","CSCI","Altered","High"
"3022","Threshold75",0.92,201050,"Aliso",2004,"DS_Dur_WS","CSCI","Altered","High"
"3023","Threshold75",0.75,201050,"Aliso",2004,"SP_Dur","ASCI","Altered","High"
"3024","Threshold75",0.86,201050,"Aliso",2004,"SP_Dur","ASCI","Altered","High"
"3025","Threshold50",0.94,201050,"Aliso",2004,"SP_Dur","ASCI","Altered","High"
"3026","Threshold75",0.94,201050,"Aliso",2004,"SP_Dur","ASCI","Altered","High"
"3027","Threshold75",0.79,201050,"Aliso",2004,"SP_Tim","CSCI","Altered","Low"
"3028","Threshold75",0.92,201050,"Aliso",2004,"SP_Tim","CSCI","Altered","Low"
"3029","Threshold50",0.75,201050,"Aliso",2005,"SP_Dur","ASCI","Altered","Low"
"3030","Threshold75",0.75,201050,"Aliso",2005,"SP_Dur","ASCI","Altered","Low"
"3031","Threshold50",0.86,201050,"Aliso",2005,"SP_Dur","ASCI","Altered","Low"
"3032","Threshold75",0.86,201050,"Aliso",2005,"SP_Dur","ASCI","Altered","Low"
"3033","Threshold50",0.94,201050,"Aliso",2005,"SP_Dur","ASCI","Altered","Low"
"3034","Threshold75",0.94,201050,"Aliso",2005,"SP_Dur","ASCI","Altered","Low"
"3035","Threshold25",0.63,201050,"Aliso",2005,"SP_Tim","CSCI","Altered","High"
"3036","Threshold50",0.63,201050,"Aliso",2005,"SP_Tim","CSCI","Altered","High"
"3037","Threshold75",0.63,201050,"Aliso",2005,"SP_Tim","CSCI","Altered","High"
"3038","Threshold25",0.79,201050,"Aliso",2005,"SP_Tim","CSCI","Altered","High"
"3039","Threshold50",0.79,201050,"Aliso",2005,"SP_Tim","CSCI","Altered","High"
"3040","Threshold75",0.79,201050,"Aliso",2005,"SP_Tim","CSCI","Altered","High"
"3041","Threshold25",0.92,201050,"Aliso",2005,"SP_Tim","CSCI","Altered","High"
"3042","Threshold50",0.92,201050,"Aliso",2005,"SP_Tim","CSCI","Altered","High"
"3043","Threshold75",0.92,201050,"Aliso",2005,"SP_Tim","CSCI","Altered","High"
"3044","Threshold50",0.75,201050,"Aliso",2006,"SP_Dur","ASCI","Altered","Low"
"3045","Threshold75",0.75,201050,"Aliso",2006,"SP_Dur","ASCI","Altered","Low"
"3046","Threshold50",0.86,201050,"Aliso",2006,"SP_Dur","ASCI","Altered","Low"
"3047","Threshold75",0.86,201050,"Aliso",2006,"SP_Dur","ASCI","Altered","Low"
"3048","Threshold25",0.94,201050,"Aliso",2006,"SP_Dur","ASCI","Altered","Low"
"3049","Threshold50",0.94,201050,"Aliso",2006,"SP_Dur","ASCI","Altered","Low"
"3050","Threshold75",0.94,201050,"Aliso",2006,"SP_Dur","ASCI","Altered","Low"
"3051","Threshold25",0.63,201050,"Aliso",2006,"SP_Tim","CSCI","Altered","High"
"3052","Threshold50",0.63,201050,"Aliso",2006,"SP_Tim","CSCI","Altered","High"
"3053","Threshold75",0.63,201050,"Aliso",2006,"SP_Tim","CSCI","Altered","High"
"3054","Threshold25",0.79,201050,"Aliso",2006,"SP_Tim","CSCI","Altered","High"
"3055","Threshold50",0.79,201050,"Aliso",2006,"SP_Tim","CSCI","Altered","High"
"3056","Threshold75",0.79,201050,"Aliso",2006,"SP_Tim","CSCI","Altered","High"
"3057","Threshold25",0.92,201050,"Aliso",2006,"SP_Tim","CSCI","Altered","High"
"3058","Threshold50",0.92,201050,"Aliso",2006,"SP_Tim","CSCI","Altered","High"
"3059","Threshold75",0.92,201050,"Aliso",2006,"SP_Tim","CSCI","Altered","High"
"3060","Threshold25",0.75,201050,"Aliso",2008,"DS_Dur_WS","ASCI","Altered","High"
"3061","Threshold50",0.75,201050,"Aliso",2008,"DS_Dur_WS","ASCI","Altered","High"
"3062","Threshold75",0.75,201050,"Aliso",2008,"DS_Dur_WS","ASCI","Altered","High"
"3063","Threshold25",0.86,201050,"Aliso",2008,"DS_Dur_WS","ASCI","Altered","High"
"3064","Threshold50",0.86,201050,"Aliso",2008,"DS_Dur_WS","ASCI","Altered","High"
"3065","Threshold75",0.86,201050,"Aliso",2008,"DS_Dur_WS","ASCI","Altered","High"
"3066","Threshold25",0.94,201050,"Aliso",2008,"DS_Dur_WS","ASCI","Altered","High"
"3067","Threshold50",0.94,201050,"Aliso",2008,"DS_Dur_WS","ASCI","Altered","High"
"3068","Threshold75",0.94,201050,"Aliso",2008,"DS_Dur_WS","ASCI","Altered","High"
"3069","Threshold25",0.63,201050,"Aliso",2008,"DS_Dur_WS","CSCI","Altered","High"
"3070","Threshold50",0.63,201050,"Aliso",2008,"DS_Dur_WS","CSCI","Altered","High"
"3071","Threshold75",0.63,201050,"Aliso",2008,"DS_Dur_WS","CSCI","Altered","High"
"3072","Threshold25",0.79,201050,"Aliso",2008,"DS_Dur_WS","CSCI","Altered","High"
"3073","Threshold50",0.79,201050,"Aliso",2008,"DS_Dur_WS","CSCI","Altered","High"
"3074","Threshold75",0.79,201050,"Aliso",2008,"DS_Dur_WS","CSCI","Altered","High"
"3075","Threshold25",0.92,201050,"Aliso",2008,"DS_Dur_WS","CSCI","Altered","High"
"3076","Threshold50",0.92,201050,"Aliso",2008,"DS_Dur_WS","CSCI","Altered","High"
"3077","Threshold75",0.92,201050,"Aliso",2008,"DS_Dur_WS","CSCI","Altered","High"
"3078","Threshold25",0.75,201050,"Aliso",2008,"SP_Dur","ASCI","Altered","Low"
"3079","Threshold50",0.75,201050,"Aliso",2008,"SP_Dur","ASCI","Altered","Low"
"3080","Threshold75",0.75,201050,"Aliso",2008,"SP_Dur","ASCI","Altered","Low"
"3081","Threshold25",0.86,201050,"Aliso",2008,"SP_Dur","ASCI","Altered","Low"
"3082","Threshold50",0.86,201050,"Aliso",2008,"SP_Dur","ASCI","Altered","Low"
"3083","Threshold75",0.86,201050,"Aliso",2008,"SP_Dur","ASCI","Altered","Low"
"3084","Threshold25",0.94,201050,"Aliso",2008,"SP_Dur","ASCI","Altered","Low"
"3085","Threshold50",0.94,201050,"Aliso",2008,"SP_Dur","ASCI","Altered","Low"
"3086","Threshold75",0.94,201050,"Aliso",2008,"SP_Dur","ASCI","Altered","Low"
"3087","Threshold25",0.75,201050,"Aliso",2009,"DS_Dur_WS","ASCI","Altered","High"
"3088","Threshold50",0.75,201050,"Aliso",2009,"DS_Dur_WS","ASCI","Altered","High"
"3089","Threshold75",0.75,201050,"Aliso",2009,"DS_Dur_WS","ASCI","Altered","High"
"3090","Threshold25",0.86,201050,"Aliso",2009,"DS_Dur_WS","ASCI","Altered","High"
"3091","Threshold50",0.86,201050,"Aliso",2009,"DS_Dur_WS","ASCI","Altered","High"
"3092","Threshold75",0.86,201050,"Aliso",2009,"DS_Dur_WS","ASCI","Altered","High"
"3093","Threshold25",0.94,201050,"Aliso",2009,"DS_Dur_WS","ASCI","Altered","High"
"3094","Threshold50",0.94,201050,"Aliso",2009,"DS_Dur_WS","ASCI","Altered","High"
"3095","Threshold75",0.94,201050,"Aliso",2009,"DS_Dur_WS","ASCI","Altered","High"
"3096","Threshold50",0.63,201050,"Aliso",2009,"DS_Dur_WS","CSCI","Altered","High"
"3097","Threshold75",0.63,201050,"Aliso",2009,"DS_Dur_WS","CSCI","Altered","High"
"3098","Threshold25",0.79,201050,"Aliso",2009,"DS_Dur_WS","CSCI","Altered","High"
"3099","Threshold50",0.79,201050,"Aliso",2009,"DS_Dur_WS","CSCI","Altered","High"
"3100","Threshold75",0.79,201050,"Aliso",2009,"DS_Dur_WS","CSCI","Altered","High"
"3101","Threshold25",0.92,201050,"Aliso",2009,"DS_Dur_WS","CSCI","Altered","High"
"3102","Threshold50",0.92,201050,"Aliso",2009,"DS_Dur_WS","CSCI","Altered","High"
"3103","Threshold75",0.92,201050,"Aliso",2009,"DS_Dur_WS","CSCI","Altered","High"
"3104","Threshold25",0.75,201050,"Aliso",2009,"SP_Dur","ASCI","Altered","Low"
"3105","Threshold50",0.75,201050,"Aliso",2009,"SP_Dur","ASCI","Altered","Low"
"3106","Threshold75",0.75,201050,"Aliso",2009,"SP_Dur","ASCI","Altered","Low"
"3107","Threshold25",0.86,201050,"Aliso",2009,"SP_Dur","ASCI","Altered","Low"
"3108","Threshold50",0.86,201050,"Aliso",2009,"SP_Dur","ASCI","Altered","Low"
"3109","Threshold75",0.86,201050,"Aliso",2009,"SP_Dur","ASCI","Altered","Low"
"3110","Threshold25",0.94,201050,"Aliso",2009,"SP_Dur","ASCI","Altered","Low"
"3111","Threshold50",0.94,201050,"Aliso",2009,"SP_Dur","ASCI","Altered","Low"
"3112","Threshold75",0.94,201050,"Aliso",2009,"SP_Dur","ASCI","Altered","Low"
"3113","Threshold75",0.75,201050,"Aliso",2010,"DS_Dur_WS","ASCI","Altered","Low"
"3114","Threshold75",0.86,201050,"Aliso",2010,"DS_Dur_WS","ASCI","Altered","Low"
"3115","Threshold75",0.94,201050,"Aliso",2010,"DS_Dur_WS","ASCI","Altered","Low"
"3116","Threshold75",0.63,201050,"Aliso",2010,"DS_Dur_WS","CSCI","Altered","Low"
"3117","Threshold50",0.79,201050,"Aliso",2010,"DS_Dur_WS","CSCI","Altered","Low"
"3118","Threshold75",0.79,201050,"Aliso",2010,"DS_Dur_WS","CSCI","Altered","Low"
"3119","Threshold50",0.92,201050,"Aliso",2010,"DS_Dur_WS","CSCI","Altered","Low"
"3120","Threshold75",0.92,201050,"Aliso",2010,"DS_Dur_WS","CSCI","Altered","Low"
"3121","Threshold75",0.94,201050,"Aliso",2010,"SP_Dur","ASCI","Altered","High"
"3122","Threshold25",0.75,201050,"Aliso",2011,"SP_Dur","ASCI","Altered","High"
"3123","Threshold50",0.75,201050,"Aliso",2011,"SP_Dur","ASCI","Altered","High"
"3124","Threshold75",0.75,201050,"Aliso",2011,"SP_Dur","ASCI","Altered","High"
"3125","Threshold25",0.86,201050,"Aliso",2011,"SP_Dur","ASCI","Altered","High"
"3126","Threshold50",0.86,201050,"Aliso",2011,"SP_Dur","ASCI","Altered","High"
"3127","Threshold75",0.86,201050,"Aliso",2011,"SP_Dur","ASCI","Altered","High"
"3128","Threshold25",0.94,201050,"Aliso",2011,"SP_Dur","ASCI","Altered","High"
"3129","Threshold50",0.94,201050,"Aliso",2011,"SP_Dur","ASCI","Altered","High"
"3130","Threshold75",0.94,201050,"Aliso",2011,"SP_Dur","ASCI","Altered","High"
"3131","Threshold75",0.94,201050,"Aliso",2012,"SP_Dur","ASCI","Altered","Low"
"3132","Threshold75",0.79,201050,"Aliso",2012,"SP_Tim","CSCI","Altered","High"
"3133","Threshold50",0.92,201050,"Aliso",2012,"SP_Tim","CSCI","Altered","High"
"3134","Threshold75",0.92,201050,"Aliso",2012,"SP_Tim","CSCI","Altered","High"
"3135","Threshold25",0.75,201050,"Aliso",2013,"DS_Dur_WS","ASCI","Altered","High"
"3136","Threshold50",0.75,201050,"Aliso",2013,"DS_Dur_WS","ASCI","Altered","High"
"3137","Threshold75",0.75,201050,"Aliso",2013,"DS_Dur_WS","ASCI","Altered","High"
"3138","Threshold25",0.86,201050,"Aliso",2013,"DS_Dur_WS","ASCI","Altered","High"
"3139","Threshold50",0.86,201050,"Aliso",2013,"DS_Dur_WS","ASCI","Altered","High"
"3140","Threshold75",0.86,201050,"Aliso",2013,"DS_Dur_WS","ASCI","Altered","High"
"3141","Threshold25",0.94,201050,"Aliso",2013,"DS_Dur_WS","ASCI","Altered","High"
"3142","Threshold50",0.94,201050,"Aliso",2013,"DS_Dur_WS","ASCI","Altered","High"
"3143","Threshold75",0.94,201050,"Aliso",2013,"DS_Dur_WS","ASCI","Altered","High"
"3144","Threshold50",0.63,201050,"Aliso",2013,"DS_Dur_WS","CSCI","Altered","High"
"3145","Threshold75",0.63,201050,"Aliso",2013,"DS_Dur_WS","CSCI","Altered","High"
"3146","Threshold25",0.79,201050,"Aliso",2013,"DS_Dur_WS","CSCI","Altered","High"
"3147","Threshold50",0.79,201050,"Aliso",2013,"DS_Dur_WS","CSCI","Altered","High"
"3148","Threshold75",0.79,201050,"Aliso",2013,"DS_Dur_WS","CSCI","Altered","High"
"3149","Threshold25",0.92,201050,"Aliso",2013,"DS_Dur_WS","CSCI","Altered","High"
"3150","Threshold50",0.92,201050,"Aliso",2013,"DS_Dur_WS","CSCI","Altered","High"
"3151","Threshold75",0.92,201050,"Aliso",2013,"DS_Dur_WS","CSCI","Altered","High"
"3152","Threshold50",0.75,201050,"Aliso",2013,"SP_Dur","ASCI","Altered","Low"
"3153","Threshold75",0.75,201050,"Aliso",2013,"SP_Dur","ASCI","Altered","Low"
"3154","Threshold25",0.86,201050,"Aliso",2013,"SP_Dur","ASCI","Altered","Low"
"3155","Threshold50",0.86,201050,"Aliso",2013,"SP_Dur","ASCI","Altered","Low"
"3156","Threshold75",0.86,201050,"Aliso",2013,"SP_Dur","ASCI","Altered","Low"
"3157","Threshold25",0.94,201050,"Aliso",2013,"SP_Dur","ASCI","Altered","Low"
"3158","Threshold50",0.94,201050,"Aliso",2013,"SP_Dur","ASCI","Altered","Low"
"3159","Threshold75",0.94,201050,"Aliso",2013,"SP_Dur","ASCI","Altered","Low"
"3160","Threshold50",0.75,201050,"Aliso",2014,"SP_Dur","ASCI","Altered","Low"
"3161","Threshold75",0.75,201050,"Aliso",2014,"SP_Dur","ASCI","Altered","Low"
"3162","Threshold25",0.86,201050,"Aliso",2014,"SP_Dur","ASCI","Altered","Low"
"3163","Threshold50",0.86,201050,"Aliso",2014,"SP_Dur","ASCI","Altered","Low"
"3164","Threshold75",0.86,201050,"Aliso",2014,"SP_Dur","ASCI","Altered","Low"
"3165","Threshold25",0.94,201050,"Aliso",2014,"SP_Dur","ASCI","Altered","Low"
"3166","Threshold50",0.94,201050,"Aliso",2014,"SP_Dur","ASCI","Altered","Low"
"3167","Threshold75",0.94,201050,"Aliso",2014,"SP_Dur","ASCI","Altered","Low"
"3168","Threshold75",0.75,201050,"Aliso",2015,"DS_Dur_WS","ASCI","Altered","High"
"3169","Threshold75",0.86,201050,"Aliso",2015,"DS_Dur_WS","ASCI","Altered","High"
"3170","Threshold25",0.94,201050,"Aliso",2015,"DS_Dur_WS","ASCI","Altered","High"
"3171","Threshold50",0.94,201050,"Aliso",2015,"DS_Dur_WS","ASCI","Altered","High"
"3172","Threshold75",0.94,201050,"Aliso",2015,"DS_Dur_WS","ASCI","Altered","High"
"3173","Threshold50",0.79,201050,"Aliso",2015,"DS_Dur_WS","CSCI","Altered","High"
"3174","Threshold75",0.79,201050,"Aliso",2015,"DS_Dur_WS","CSCI","Altered","High"
"3175","Threshold25",0.92,201050,"Aliso",2015,"DS_Dur_WS","CSCI","Altered","High"
"3176","Threshold50",0.92,201050,"Aliso",2015,"DS_Dur_WS","CSCI","Altered","High"
"3177","Threshold75",0.92,201050,"Aliso",2015,"DS_Dur_WS","CSCI","Altered","High"
"3178","Threshold25",0.75,201050,"Aliso",2017,"SP_Dur","ASCI","Altered","High"
"3179","Threshold50",0.75,201050,"Aliso",2017,"SP_Dur","ASCI","Altered","High"
"3180","Threshold75",0.75,201050,"Aliso",2017,"SP_Dur","ASCI","Altered","High"
"3181","Threshold25",0.86,201050,"Aliso",2017,"SP_Dur","ASCI","Altered","High"
"3182","Threshold50",0.86,201050,"Aliso",2017,"SP_Dur","ASCI","Altered","High"
"3183","Threshold75",0.86,201050,"Aliso",2017,"SP_Dur","ASCI","Altered","High"
"3184","Threshold25",0.94,201050,"Aliso",2017,"SP_Dur","ASCI","Altered","High"
"3185","Threshold50",0.94,201050,"Aliso",2017,"SP_Dur","ASCI","Altered","High"
"3186","Threshold75",0.94,201050,"Aliso",2017,"SP_Dur","ASCI","Altered","High"
"3187","Threshold75",0.75,201050,"Aliso",2018,"SP_Dur","ASCI","Altered","Low"
"3188","Threshold50",0.86,201050,"Aliso",2018,"SP_Dur","ASCI","Altered","Low"
"3189","Threshold75",0.86,201050,"Aliso",2018,"SP_Dur","ASCI","Altered","Low"
"3190","Threshold50",0.94,201050,"Aliso",2018,"SP_Dur","ASCI","Altered","Low"
"3191","Threshold75",0.94,201050,"Aliso",2018,"SP_Dur","ASCI","Altered","Low"
"3192","Threshold50",0.94,201060,"Aliso",1994,"DS_Dur_WS","ASCI","Altered","High"
"3193","Threshold75",0.94,201060,"Aliso",1994,"DS_Dur_WS","ASCI","Altered","High"
"3194","Threshold75",0.79,201060,"Aliso",1994,"DS_Dur_WS","CSCI","Altered","High"
"3195","Threshold25",0.92,201060,"Aliso",1994,"DS_Dur_WS","CSCI","Altered","High"
"3196","Threshold50",0.92,201060,"Aliso",1994,"DS_Dur_WS","CSCI","Altered","High"
"3197","Threshold75",0.92,201060,"Aliso",1994,"DS_Dur_WS","CSCI","Altered","High"
"3198","Threshold50",0.75,201060,"Aliso",1994,"SP_Dur","ASCI","Altered","Low"
"3199","Threshold75",0.75,201060,"Aliso",1994,"SP_Dur","ASCI","Altered","Low"
"3200","Threshold50",0.86,201060,"Aliso",1994,"SP_Dur","ASCI","Altered","Low"
"3201","Threshold75",0.86,201060,"Aliso",1994,"SP_Dur","ASCI","Altered","Low"
"3202","Threshold50",0.94,201060,"Aliso",1994,"SP_Dur","ASCI","Altered","Low"
"3203","Threshold75",0.94,201060,"Aliso",1994,"SP_Dur","ASCI","Altered","Low"
"3204","Threshold50",0.63,201060,"Aliso",1994,"SP_Tim","CSCI","Altered","High"
"3205","Threshold75",0.63,201060,"Aliso",1994,"SP_Tim","CSCI","Altered","High"
"3206","Threshold25",0.79,201060,"Aliso",1994,"SP_Tim","CSCI","Altered","High"
"3207","Threshold50",0.79,201060,"Aliso",1994,"SP_Tim","CSCI","Altered","High"
"3208","Threshold75",0.79,201060,"Aliso",1994,"SP_Tim","CSCI","Altered","High"
"3209","Threshold25",0.92,201060,"Aliso",1994,"SP_Tim","CSCI","Altered","High"
"3210","Threshold50",0.92,201060,"Aliso",1994,"SP_Tim","CSCI","Altered","High"
"3211","Threshold75",0.92,201060,"Aliso",1994,"SP_Tim","CSCI","Altered","High"
"3212","Threshold75",0.75,201060,"Aliso",1995,"DS_Dur_WS","ASCI","Altered","Low"
"3213","Threshold75",0.86,201060,"Aliso",1995,"DS_Dur_WS","ASCI","Altered","Low"
"3214","Threshold75",0.94,201060,"Aliso",1995,"DS_Dur_WS","ASCI","Altered","Low"
"3215","Threshold75",0.63,201060,"Aliso",1995,"DS_Dur_WS","CSCI","Altered","Low"
"3216","Threshold50",0.79,201060,"Aliso",1995,"DS_Dur_WS","CSCI","Altered","Low"
"3217","Threshold75",0.79,201060,"Aliso",1995,"DS_Dur_WS","CSCI","Altered","Low"
"3218","Threshold50",0.92,201060,"Aliso",1995,"DS_Dur_WS","CSCI","Altered","Low"
"3219","Threshold75",0.92,201060,"Aliso",1995,"DS_Dur_WS","CSCI","Altered","Low"
"3220","Threshold25",0.75,201060,"Aliso",1995,"SP_Dur","ASCI","Altered","High"
"3221","Threshold50",0.75,201060,"Aliso",1995,"SP_Dur","ASCI","Altered","High"
"3222","Threshold75",0.75,201060,"Aliso",1995,"SP_Dur","ASCI","Altered","High"
"3223","Threshold25",0.86,201060,"Aliso",1995,"SP_Dur","ASCI","Altered","High"
"3224","Threshold50",0.86,201060,"Aliso",1995,"SP_Dur","ASCI","Altered","High"
"3225","Threshold75",0.86,201060,"Aliso",1995,"SP_Dur","ASCI","Altered","High"
"3226","Threshold25",0.94,201060,"Aliso",1995,"SP_Dur","ASCI","Altered","High"
"3227","Threshold50",0.94,201060,"Aliso",1995,"SP_Dur","ASCI","Altered","High"
"3228","Threshold75",0.94,201060,"Aliso",1995,"SP_Dur","ASCI","Altered","High"
"3229","Threshold75",0.94,201060,"Aliso",1996,"DS_Dur_WS","ASCI","Altered","Low"
"3230","Threshold75",0.79,201060,"Aliso",1996,"DS_Dur_WS","CSCI","Altered","Low"
"3231","Threshold75",0.92,201060,"Aliso",1996,"DS_Dur_WS","CSCI","Altered","Low"
"3232","Threshold75",0.92,201060,"Aliso",1998,"SP_Tim","CSCI","Altered","High"
"3233","Threshold25",0.75,201060,"Aliso",1999,"DS_Dur_WS","ASCI","Altered","High"
"3234","Threshold50",0.75,201060,"Aliso",1999,"DS_Dur_WS","ASCI","Altered","High"
"3235","Threshold75",0.75,201060,"Aliso",1999,"DS_Dur_WS","ASCI","Altered","High"
"3236","Threshold25",0.86,201060,"Aliso",1999,"DS_Dur_WS","ASCI","Altered","High"
"3237","Threshold50",0.86,201060,"Aliso",1999,"DS_Dur_WS","ASCI","Altered","High"
"3238","Threshold75",0.86,201060,"Aliso",1999,"DS_Dur_WS","ASCI","Altered","High"
"3239","Threshold25",0.94,201060,"Aliso",1999,"DS_Dur_WS","ASCI","Altered","High"
"3240","Threshold50",0.94,201060,"Aliso",1999,"DS_Dur_WS","ASCI","Altered","High"
"3241","Threshold75",0.94,201060,"Aliso",1999,"DS_Dur_WS","ASCI","Altered","High"
"3242","Threshold50",0.63,201060,"Aliso",1999,"DS_Dur_WS","CSCI","Altered","High"
"3243","Threshold75",0.63,201060,"Aliso",1999,"DS_Dur_WS","CSCI","Altered","High"
"3244","Threshold25",0.79,201060,"Aliso",1999,"DS_Dur_WS","CSCI","Altered","High"
"3245","Threshold50",0.79,201060,"Aliso",1999,"DS_Dur_WS","CSCI","Altered","High"
"3246","Threshold75",0.79,201060,"Aliso",1999,"DS_Dur_WS","CSCI","Altered","High"
"3247","Threshold25",0.92,201060,"Aliso",1999,"DS_Dur_WS","CSCI","Altered","High"
"3248","Threshold50",0.92,201060,"Aliso",1999,"DS_Dur_WS","CSCI","Altered","High"
"3249","Threshold75",0.92,201060,"Aliso",1999,"DS_Dur_WS","CSCI","Altered","High"
"3250","Threshold50",0.75,201060,"Aliso",1999,"SP_Dur","ASCI","Altered","Low"
"3251","Threshold75",0.75,201060,"Aliso",1999,"SP_Dur","ASCI","Altered","Low"
"3252","Threshold25",0.86,201060,"Aliso",1999,"SP_Dur","ASCI","Altered","Low"
"3253","Threshold50",0.86,201060,"Aliso",1999,"SP_Dur","ASCI","Altered","Low"
"3254","Threshold75",0.86,201060,"Aliso",1999,"SP_Dur","ASCI","Altered","Low"
"3255","Threshold25",0.94,201060,"Aliso",1999,"SP_Dur","ASCI","Altered","Low"
"3256","Threshold50",0.94,201060,"Aliso",1999,"SP_Dur","ASCI","Altered","Low"
"3257","Threshold75",0.94,201060,"Aliso",1999,"SP_Dur","ASCI","Altered","Low"
"3258","Threshold50",0.63,201060,"Aliso",1999,"SP_Tim","CSCI","Altered","High"
"3259","Threshold75",0.63,201060,"Aliso",1999,"SP_Tim","CSCI","Altered","High"
"3260","Threshold25",0.79,201060,"Aliso",1999,"SP_Tim","CSCI","Altered","High"
"3261","Threshold50",0.79,201060,"Aliso",1999,"SP_Tim","CSCI","Altered","High"
"3262","Threshold75",0.79,201060,"Aliso",1999,"SP_Tim","CSCI","Altered","High"
"3263","Threshold25",0.92,201060,"Aliso",1999,"SP_Tim","CSCI","Altered","High"
"3264","Threshold50",0.92,201060,"Aliso",1999,"SP_Tim","CSCI","Altered","High"
"3265","Threshold75",0.92,201060,"Aliso",1999,"SP_Tim","CSCI","Altered","High"
"3266","Threshold75",0.86,201060,"Aliso",2000,"DS_Dur_WS","ASCI","Altered","High"
"3267","Threshold50",0.94,201060,"Aliso",2000,"DS_Dur_WS","ASCI","Altered","High"
"3268","Threshold75",0.94,201060,"Aliso",2000,"DS_Dur_WS","ASCI","Altered","High"
"3269","Threshold75",0.79,201060,"Aliso",2000,"DS_Dur_WS","CSCI","Altered","High"
"3270","Threshold25",0.92,201060,"Aliso",2000,"DS_Dur_WS","CSCI","Altered","High"
"3271","Threshold50",0.92,201060,"Aliso",2000,"DS_Dur_WS","CSCI","Altered","High"
"3272","Threshold75",0.92,201060,"Aliso",2000,"DS_Dur_WS","CSCI","Altered","High"
"3273","Threshold50",0.75,201060,"Aliso",2000,"SP_Dur","ASCI","Altered","Low"
"3274","Threshold75",0.75,201060,"Aliso",2000,"SP_Dur","ASCI","Altered","Low"
"3275","Threshold50",0.86,201060,"Aliso",2000,"SP_Dur","ASCI","Altered","Low"
"3276","Threshold75",0.86,201060,"Aliso",2000,"SP_Dur","ASCI","Altered","Low"
"3277","Threshold50",0.94,201060,"Aliso",2000,"SP_Dur","ASCI","Altered","Low"
"3278","Threshold75",0.94,201060,"Aliso",2000,"SP_Dur","ASCI","Altered","Low"
"3279","Threshold50",0.63,201060,"Aliso",2000,"SP_Tim","CSCI","Altered","High"
"3280","Threshold75",0.63,201060,"Aliso",2000,"SP_Tim","CSCI","Altered","High"
"3281","Threshold25",0.79,201060,"Aliso",2000,"SP_Tim","CSCI","Altered","High"
"3282","Threshold50",0.79,201060,"Aliso",2000,"SP_Tim","CSCI","Altered","High"
"3283","Threshold75",0.79,201060,"Aliso",2000,"SP_Tim","CSCI","Altered","High"
"3284","Threshold25",0.92,201060,"Aliso",2000,"SP_Tim","CSCI","Altered","High"
"3285","Threshold50",0.92,201060,"Aliso",2000,"SP_Tim","CSCI","Altered","High"
"3286","Threshold75",0.92,201060,"Aliso",2000,"SP_Tim","CSCI","Altered","High"
"3287","Threshold75",0.86,201060,"Aliso",2001,"DS_Dur_WS","ASCI","Altered","High"
"3288","Threshold25",0.94,201060,"Aliso",2001,"DS_Dur_WS","ASCI","Altered","High"
"3289","Threshold50",0.94,201060,"Aliso",2001,"DS_Dur_WS","ASCI","Altered","High"
"3290","Threshold75",0.94,201060,"Aliso",2001,"DS_Dur_WS","ASCI","Altered","High"
"3291","Threshold75",0.79,201060,"Aliso",2001,"DS_Dur_WS","CSCI","Altered","High"
"3292","Threshold25",0.92,201060,"Aliso",2001,"DS_Dur_WS","CSCI","Altered","High"
"3293","Threshold50",0.92,201060,"Aliso",2001,"DS_Dur_WS","CSCI","Altered","High"
"3294","Threshold75",0.92,201060,"Aliso",2001,"DS_Dur_WS","CSCI","Altered","High"
"3295","Threshold50",0.75,201060,"Aliso",2001,"SP_Dur","ASCI","Altered","Low"
"3296","Threshold75",0.75,201060,"Aliso",2001,"SP_Dur","ASCI","Altered","Low"
"3297","Threshold50",0.86,201060,"Aliso",2001,"SP_Dur","ASCI","Altered","Low"
"3298","Threshold75",0.86,201060,"Aliso",2001,"SP_Dur","ASCI","Altered","Low"
"3299","Threshold50",0.94,201060,"Aliso",2001,"SP_Dur","ASCI","Altered","Low"
"3300","Threshold75",0.94,201060,"Aliso",2001,"SP_Dur","ASCI","Altered","Low"
"3301","Threshold75",0.63,201060,"Aliso",2001,"SP_Tim","CSCI","Altered","High"
